coder,16383,0,2463
coder,16588,0,3780
coder,0,0,2125
coder,16669,0,2129
coder,16177,0,2129
coder,0,0,2129
designer,0,0,1620
coder,0,0,2583
coder,0,0,2552
coder,16720,0,3935
coder,0,0,2594
coder,16994,0,2588
coder,16621,0,2590
coder,16594,0,2601
coder,16658,0,2603
designer,4569,0,1620
coder,12775,0,3010
coder,0,0,2364
coder,0,0,2462
coder,0,0,2468
coder,0,0,2469
coder,16488,0,2480
coder,0,0,2485
coder,17033,0,2489
designer,0,0,1620
coder,12649,0,2476
coder,0,0,2609
coder,17090,0,2613
coder,17257,0,3315
coder,16684,0,2645
coder,16781,0,2643
coder,0,0,2645
coder,0,0,2645
designer,4569,0,1620
coder,12650,0,2447
coder,0,0,2460
coder,16956,0,2419
coder,0,0,2419
coder,0,0,2421
coder,16985,0,2419
coder,16495,0,3394
coder,0,0,2415
designer,0,0,894
coder,11856,0,1549
profiler,3707,0,265
sketch,6059,0,759
feature_extractor,4973,0,414
designer,7857,0,1325
coder,0,0,1893
profiler,0,0,295
sketch,0,0,773
feature_extractor,0,0,478
designer,0,0,871
coder,0,0,1606
profiler,0,0,285
sketch,0,0,734
feature_extractor,0,0,407
designer,10219,0,940
coder,0,0,1723
profiler,0,0,298
sketch,6271,0,791
feature_extractor,5185,0,470
designer,10986,0,1383
coder,0,0,1761
profiler,0,0,297
sketch,6315,0,729
feature_extractor,0,0,395
designer,10947,0,1355
coder,11881,0,1574
profiler,3727,0,276
sketch,0,0,729
feature_extractor,0,0,458
designer,10201,0,1006
coder,12049,0,1748
profiler,4085,0,830
sketch,0,0,734
feature_extractor,5227,0,426
designer,0,0,864
coder,0,0,1731
profiler,3936,0,282
sketch,6289,0,791
feature_extractor,0,0,446
designer,10444,0,1004
coder,0,0,1888
profiler,4089,0,214
sketch,0,0,769
feature_extractor,0,0,399
designer,10497,0,907
coder,11933,0,1706
profiler,3895,0,268
sketch,0,0,731
feature_extractor,5159,0,433
designer,4410,0,2485
coder,0,0,2907
coder,18042,0,1264
coder,0,0,1264
coder,16463,0,3069
coder,0,0,1255
coder,0,0,1255
coder,16288,0,1277
coder,16531,0,3172
designer,0,0,1764
coder,0,0,3323
coder,0,0,2827
coder,17319,0,2825
coder,17249,0,2825
designer,0,0,1764
coder,0,0,2709
coder,0,0,2253
coder,0,0,2251
coder,16832,0,2893
coder,0,0,1487
coder,0,0,1468
coder,15879,0,1466
coder,15873,0,1434
designer,0,0,1764
coder,0,0,2709
coder,0,0,2705
coder,0,0,2703
coder,0,0,2705
coder,0,0,2705
coder,17169,0,2705
coder,0,0,2705
coder,17164,0,3232
designer,0,0,1752
coder,0,0,3307
coder,0,0,2795
coder,0,0,52
coder,0,0,2525
coder,0,0,2375
coder,16979,0,3146
coder,0,0,2375
coder,16872,0,2375
designer,0,0,1764
coder,0,0,3323
coder,17780,0,2473
coder,17064,0,3165
coder,0,0,2327
coder,0,0,2325
coder,16927,0,5463
coder,16896,0,2349
coder,0,0,2347
designer,0,0,1764
coder,0,0,2204
coder,0,0,2204
coder,0,0,2117
coder,0,0,2117
coder,0,0,2115
coder,0,0,2117
coder,0,0,2409
coder,16815,0,2373
designer,0,0,1752
coder,0,0,3266
coder,0,0,2889
coder,0,0,2861
profiler,8289,0,1038
sketch,0,0,1778
feature_extractor,0,0,462
designer,0,0,2035
coder,13023,0,2911
profiler,0,0,280
sketch,0,0,1865
feature_extractor,6388,0,427
designer,4386,0,1498
coder,0,0,2409
coder,0,0,2540
coder,0,0,2540
coder,0,0,2540
coder,17017,0,3240
coder,0,0,2490
coder,0,0,2490
profiler,4762,0,499
sketch,7102,0,1255
feature_extractor,0,0,590
designer,9666,0,1850
coder,12504,0,2550
profiler,0,0,248
sketch,6557,0,1116
feature_extractor,0,0,355
designer,0,0,1664
coder,0,0,3027
profiler,6787,0,258
sketch,7742,0,1962
feature_extractor,0,0,455
designer,0,0,1381
coder,0,0,2152
profiler,4430,0,260
sketch,6896,0,1987
feature_extractor,0,0,510
designer,12404,0,1634
coder,0,0,2584
profiler,6485,0,1301
sketch,7183,0,1653
feature_extractor,0,0,500
designer,13603,0,1885
coder,0,0,3148
profiler,6947,0,255
sketch,0,0,1558
feature_extractor,0,0,505
designer,0,0,2036
coder,13111,0,2885
coder,0,0,3483
coder,0,0,2440
profiler,4706,0,474
sketch,7046,0,1415
feature_extractor,0,0,439
designer,0,0,1432
coder,0,0,2129
coder,0,0,2232
coder,0,0,1334
profiler,8525,0,283
sketch,0,0,819
feature_extractor,0,0,370
designer,0,0,1319
coder,0,0,1788
coder,0,0,1783
profiler,9037,0,299
sketch,0,0,869
feature_extractor,0,0,326
designer,0,0,1075
coder,0,0,1558
profiler,0,0,307
sketch,0,0,1422
feature_extractor,0,0,339
designer,0,0,1512
coder,0,0,2131
coder,16287,0,3926
coder,0,0,59
coder,13294,0,2247
coder,15845,0,1742
coder,15888,0,4068
coder,15711,0,1647
coder,15901,0,3845
designer,4578,0,1579
coder,12581,0,1891
coder,16168,0,3770
coder,0,0,1971
coder,16262,0,1971
coder,0,0,1971
coder,0,0,1971
coder,16492,0,2463
coder,16370,0,1971
designer,4704,0,3282
coder,13688,0,3439
profiler,12707,0,265
sketch,0,0,1122
